niche,product,P,W,F,E,R,S,I,Z,C,V,Rp,B,D,MTO,status,exclusion_reasons,filter_score
Beauty tools,Gua sha stone,2,1,1,0,1,0,0,0,5,5,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),60.8
Yoga & pilates,Yoga mat,2,3,0,0,0,0,0,0,5,3,0,2,4,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; saturated commodity (Temu/Amazon price anchor),60.7
GAA & hurling,Hurley grips multipack,1,1,0,0,0,0,1,0,4,2,1,2,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks)",60.7
Work from home,Aluminium laptop stand,2,2,0,0,0,0,0,0,5,3,0,1,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),60.7
Photography,Phone tripod with remote,2,2,0,1,0,0,0,0,5,3,0,1,4,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),60.7
Condensation & damp,Cordless window vacuum,3,2,0,1,0,0,1,1,4,4,0,2,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital",60.6
Home baking,Proofing box,4,3,0,1,1,0,0,0,2,3,0,2,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; heavy/bulky: shipping cost destroys margin,60.5
Zero waste,Refillable glass spray bottles,2,2,1,0,0,0,0,0,4,3,0,3,2,0,EXCLUDED,fragile: breakage and replacement cost,60.5
Men's grooming,Beard oil kit,2,1,1,0,1,0,0,0,5,3,1,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),60.4
Car organisation,Collapsible boot organiser,2,3,0,0,0,0,0,0,4,3,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,60.3
Cats,Automatic laser cat toy,2,1,0,1,1,0,0,0,4,5,0,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,60.1
Car organisation,Seat gap filler,1,1,0,0,0,0,0,0,5,4,0,1,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,60.0
Yoga & pilates,Pilates ring,1,2,0,0,0,0,0,0,4,4,0,1,3,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,59.8
Food storage,Silicone reusable food bags,2,1,0,0,1,0,0,0,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),59.6
Kids room,Kids night light,2,1,0,1,1,0,0,0,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,59.6
Nails,Manicure tool kit,1,1,0,0,0,0,0,0,5,2,0,2,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,59.5
Smart home,Smart radiator thermostat,4,1,0,1,0,0,1,1,4,2,0,1,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital",59.4
School,School backpack,3,2,0,0,0,0,0,2,4,2,0,2,3,0,EXCLUDED,extreme single-peak seasonality,59.3
Sexual wellness,Intimacy game cards,2,1,0,0,1,0,0,0,4,1,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),59.2
Small tech,Cable organiser pouch,1,1,0,0,0,0,0,0,4,2,0,2,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,59.1
Travel,Memory foam neck pillow,2,2,0,0,0,0,0,0,5,2,0,2,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),59.0
Energy monitoring,Smart plug with energy meter,2,1,0,1,0,0,0,0,5,2,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),58.9
Dog mud & rain,Portable paw washer cup,2,2,0,0,0,1,1,1,4,5,0,2,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); sizing/fit: high return rate under 14-day withdrawal right",58.9
Travel,Universal travel adapter,2,1,0,1,0,0,0,0,5,2,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),58.9
Sexual wellness,Couples massager,3,1,0,1,1,0,0,0,5,1,0,2,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),58.9
Bike repair,Mini bike pump,2,1,0,0,0,0,0,0,5,2,0,1,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor),58.9
Baby,Baby carrier,4,2,0,0,1,1,0,0,4,4,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right,58.8
Hydration,Insulated steel water bottle,2,2,0,0,1,0,1,0,5,3,0,4,4,0,EXCLUDED,"regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); IP risk (patent, dominant trademark or licensed marks); saturated commodity (Temu/Amazon price anchor)",58.8
Home baking,Bread lame and scoring set,1,1,0,0,1,0,0,0,3,4,0,2,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.7
Jewellery,Birthstone bracelet,2,1,0,0,1,1,0,0,5,3,0,4,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor),58.7
Haircare,Detangling brush,1,1,0,0,0,0,1,0,5,4,0,2,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost",58.7
Kids toys,STEM science kit,3,2,0,0,1,0,0,1,4,4,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),58.6
Wellness,Acupressure mat,2,2,0,0,1,0,0,0,4,4,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),58.6
Party & events,Photo booth props,1,1,0,0,0,0,0,1,4,3,0,2,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.6
Candles & fragrance,Reed diffuser,2,2,1,0,1,0,0,0,4,2,1,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost,58.5
Gardening,Seed starter propagator kit,2,3,0,0,0,0,0,2,3,3,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; extreme single-peak seasonality,58.5
Cycling commute,USB bike light set,2,1,0,1,0,0,0,1,5,3,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),58.4
Dog mud & rain,Dog car boot liner,3,3,0,0,0,1,0,0,4,3,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; sizing/fit: high return rate under 14-day withdrawal right,58.4
Dog travel,Back-seat hammock cover,3,3,0,0,0,1,0,0,4,3,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; sizing/fit: high return rate under 14-day withdrawal right,58.4
Jewellery,Claddagh ring,3,1,0,0,1,1,0,1,4,3,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right,58.4
Reading,Clip-on book light,1,1,0,1,0,0,0,0,5,3,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.4
Student housing,Rental-safe adhesive hooks,1,1,0,0,0,0,0,0,5,3,0,1,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.4
Running,Hydration vest,3,2,0,0,0,1,0,0,4,3,0,2,2,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right,58.3
Kitchen organisation,Under-shelf hanging baskets,1,2,0,0,0,0,0,0,4,3,0,1,3,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.2
Halloween,Pumpkin carving kit,1,1,0,0,0,0,0,2,4,4,0,1,3,0,EXCLUDED,extreme single-peak seasonality; AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.2
Smart home,Smart bulbs,2,1,1,1,0,0,0,0,5,3,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),58.1
Recovery,Spiky massage ball set,1,1,0,0,0,0,0,0,4,3,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.0
Older adults,Jar opener,1,1,0,0,0,0,0,0,4,3,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,58.0
DIY tools,Cross-line laser level,3,2,0,1,1,0,0,0,4,4,0,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,58.0
Pet personalisation,Tracker collar holder,1,1,0,0,0,0,1,0,4,2,0,2,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); AOV <€15 with no repeat purchase: cannot carry acquisition cost",57.9
Skincare,Sheet face masks,1,1,0,0,1,0,0,0,5,3,1,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),57.9
Car winter,Windscreen frost cover,2,2,0,0,0,0,0,2,4,4,0,1,3,0,EXCLUDED,extreme single-peak seasonality,57.7
Small-space garden,Windowsill herb kit,2,2,0,0,1,0,0,1,4,3,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),57.6
Recovery,Foam roller,2,3,0,0,0,0,0,0,4,3,0,1,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,57.6
Home bar,Whiskey stones set,2,2,0,0,1,0,0,1,4,3,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),57.6
Draught proofing,Self-adhesive window seal tape,1,1,0,0,0,0,0,1,5,2,0,1,4,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,57.5
Hiking,Waterproof gaiters,2,1,0,0,0,1,0,1,3,2,0,2,2,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right,57.5
Baby,Silicone teether,1,1,0,0,1,0,0,0,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); AOV <€15 with no repeat purchase: cannot carry acquisition cost,57.5
Sexual wellness,Personal lubricant,1,1,0,0,1,0,0,0,5,1,1,2,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),57.5
Home gym,Ab roller wheel,1,2,0,0,0,0,0,0,5,4,0,1,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,57.4
Irish whiskey fans,Barrel-stave coasters,2,2,0,0,1,0,0,1,3,3,0,3,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),57.2
Ergonomics,Memory foam lumbar cushion,2,2,0,0,1,0,0,0,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),57.0
Meal prep,Stackable bento box,2,2,0,0,1,0,0,0,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),57.0
Radiator efficiency,Radiator reflector foil,1,2,0,0,0,0,0,1,3,2,0,1,3,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.9
Party & events,Balloon arch kit,2,2,0,0,1,0,0,1,5,4,0,2,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor),56.9
Home security,Fireproof document bag,2,1,0,0,1,0,0,0,4,3,0,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),56.9
Irish whiskey fans,Whiskey tasting glass set,3,2,1,0,1,0,0,1,3,3,0,3,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost,56.9
Thermal textiles,Thermal blackout curtains,3,3,0,0,0,1,0,0,4,2,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; sizing/fit: high return rate under 14-day withdrawal right,56.8
Budget air travel,Digital luggage scale,1,1,0,1,0,0,0,0,5,2,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.8
Music accessories,Guitar capo,1,1,0,0,0,0,0,0,5,2,0,1,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.8
Wellness,Posture corrector,2,1,0,0,1,1,0,0,5,5,0,1,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor),56.5
Maker & 3D printing,Precision screwdriver kit,2,1,0,0,0,0,1,0,5,3,0,1,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); saturated commodity (Temu/Amazon price anchor)",56.5
Bathroom,Wall-mount toothbrush holder,1,1,0,0,0,0,0,0,4,2,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.4
Indoor plants,Soil moisture meter,1,1,0,0,0,0,0,0,4,2,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.4
Ergonomics,Keyboard wrist rest,1,1,0,0,0,0,0,0,4,2,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.4
E-scooter,Scooter phone mount,1,1,0,0,0,0,0,0,4,2,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.4
Home security,Window contact alarms,1,1,0,1,0,0,0,0,4,2,0,1,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.4
Outdoor & rain,Waterproof phone pouch,1,1,0,0,0,0,0,1,5,3,0,1,3,0,EXCLUDED,saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.3
Thermal textiles,Thermal door curtain,2,3,0,0,0,0,0,1,3,2,0,2,2,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,56.2
Warmth accessories,Hot water bottle with knitted cover,2,2,0,0,1,0,0,1,4,2,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),56.0
Warmth accessories,Microwavable wheat heat pack,2,2,0,0,1,0,0,1,4,2,0,3,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),56.0
Dog grooming,Grooming glove,1,1,0,0,0,1,0,0,5,4,0,1,3,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,56.0
Energy monitoring,Standby killer power strip,2,2,0,1,0,0,0,0,4,2,0,1,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital,55.9
Gardening,Garden kneeler seat,3,3,0,0,0,0,0,1,3,2,0,1,2,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,55.6
Dog travel,Dog car seatbelt harness,2,1,0,0,1,1,0,0,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right,55.6
Photography,Ring light,2,2,1,1,0,0,0,0,5,3,0,1,3,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),55.5
St Patrick's Day,Shamrock accessories,1,1,0,0,0,0,0,2,5,2,0,2,3,0,EXCLUDED,extreme single-peak seasonality; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,55.3
Draught proofing,Letterbox draught brush,1,1,0,0,0,0,0,1,3,1,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,55.1
Hydration,Fruit infuser bottle,1,1,0,0,1,0,0,0,5,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,55.1
Car winter,Ice scraper with mitt,1,1,0,0,0,0,0,2,4,2,0,1,3,0,EXCLUDED,extreme single-peak seasonality; AOV <€15 with no repeat purchase: cannot carry acquisition cost,55.0
Kids toys,Kids art supply case,2,2,0,0,1,0,0,1,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),54.9
School,Bento lunch box,2,2,0,0,1,0,0,1,4,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),54.9
Laundry,Mesh laundry bag set,1,1,0,0,0,0,0,0,4,1,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,54.8
Small tech,Webcam privacy cover,1,1,0,0,0,0,0,0,4,1,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,54.8
Wellness,Blue-light glasses,2,1,1,0,1,0,0,0,5,3,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost; saturated commodity (Temu/Amazon price anchor),54.8
Rainwear,Wellington boots,3,3,0,0,0,1,0,1,4,2,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; sizing/fit: high return rate under 14-day withdrawal right,54.7
Radiator efficiency,Radiator shelf,2,3,0,0,0,0,0,1,3,1,0,2,2,0,EXCLUDED,heavy/bulky: shipping cost destroys margin,54.6
Indoor clothes drying,Over-radiator drying rack,1,2,0,0,0,0,0,1,4,2,0,1,3,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,54.5
Mobility aids,Bed assist rail,3,3,0,0,1,0,0,0,3,2,0,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); heavy/bulky: shipping cost destroys margin,54.5
Running,Reflective armband,1,1,0,0,0,0,0,1,4,2,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,54.3
Student housing,Mini desk fan,1,1,0,1,0,0,0,0,5,2,0,1,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,54.0
Student housing,Door-mounted over-door hanger,1,2,0,0,0,0,0,0,4,2,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,53.8
Halloween,Outdoor decorations,2,3,0,0,0,0,0,2,5,3,0,2,3,0,EXCLUDED,heavy/bulky: shipping cost destroys margin; extreme single-peak seasonality; saturated commodity (Temu/Amazon price anchor),53.7
Watches,Quick-release watch strap,2,1,0,0,0,1,1,0,5,2,0,2,3,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor)",53.6
Dog travel,Collapsible silicone bowl,1,1,0,0,1,0,0,0,5,2,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,53.5
Nails,UV/LED nail lamp,2,2,0,1,1,0,0,0,5,4,0,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor),53.5
Small tech,Screen cleaning kit,1,1,0,0,1,0,0,0,4,2,1,1,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),53.2
Zero waste,Reusable produce bags,1,1,0,0,1,0,0,0,4,2,0,2,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); AOV <€15 with no repeat purchase: cannot carry acquisition cost,53.1
Zero waste,Bamboo travel cutlery set,1,1,0,0,1,0,0,0,4,2,0,2,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); AOV <€15 with no repeat purchase: cannot carry acquisition cost,53.1
Tea,Loose-leaf tea infuser,1,1,0,0,1,0,0,0,4,2,0,2,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); AOV <€15 with no repeat purchase: cannot carry acquisition cost,53.1
Puzzles & games,Trivia board game,3,3,0,0,1,0,1,1,4,3,0,3,3,0,EXCLUDED,"regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); IP risk (patent, dominant trademark or licensed marks); heavy/bulky: shipping cost destroys margin",53.0
Irish heritage gifts,"Surname ""family crest"" mug",2,2,1,0,1,0,1,1,4,2,0,3,3,1,EXCLUDED,"regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); IP risk (patent, dominant trademark or licensed marks); fragile: breakage and replacement cost",52.8
Halloween,Adult costume,2,2,0,0,0,1,1,2,5,4,0,2,4,0,EXCLUDED,"IP risk (patent, dominant trademark or licensed marks); sizing/fit: high return rate under 14-day withdrawal right; extreme single-peak seasonality; saturated commodity (Temu/Amazon price anchor)",52.8
Energy monitoring,Plug-in timer socket,1,1,0,1,0,0,0,0,5,1,0,1,2,0,EXCLUDED,electrical/battery: CE+WEEE+battery compliance and breakage too costly at <=€5k capital; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,52.4
Mobility aids,Long-handled shoe horn,1,2,0,0,0,0,0,0,4,1,0,1,2,0,EXCLUDED,AOV <€15 with no repeat purchase: cannot carry acquisition cost,52.2
Coffee,Glass cold brew pitcher,2,2,1,0,1,0,0,1,3,3,0,2,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); fragile: breakage and replacement cost,52.1
Small-space garden,Rain gauge,1,1,1,0,0,0,0,0,3,1,0,1,1,0,EXCLUDED,fragile: breakage and replacement cost; AOV <€15 with no repeat purchase: cannot carry acquisition cost,52.0
Photography,Lens cleaning kit,1,1,0,0,1,0,0,0,4,1,1,1,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult),51.6
Condensation & damp,Calcium chloride moisture absorber,1,3,0,0,1,0,0,1,4,2,1,1,4,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); heavy/bulky: shipping cost destroys margin,51.4
Mobility aids,Folding walking stick,2,2,0,0,1,1,0,0,4,2,0,2,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right,51.4
St Patrick's Day,Novelty green hat,1,1,0,0,0,1,0,2,5,2,0,2,3,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right; extreme single-peak seasonality; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,51.3
St Patrick's Day,Irish tricolour flag,1,1,0,0,0,0,0,2,5,1,0,1,3,0,EXCLUDED,extreme single-peak seasonality; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,51.0
Older adults,Weekly pill organiser,1,1,0,0,1,0,0,0,5,2,0,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,50.8
Outdoor & rain,Packable rain poncho,1,1,0,0,0,1,0,1,5,2,0,1,3,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,50.7
Tea,Cast-iron teapot,3,3,1,0,1,0,0,0,4,2,0,2,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); heavy/bulky: shipping cost destroys margin; fragile: breakage and replacement cost,49.6
Car winter,De-icer spray,1,2,0,0,1,0,0,2,4,2,1,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); extreme single-peak seasonality,49.2
Meal prep,Glass meal prep containers,2,3,1,0,1,0,0,0,4,3,0,1,3,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); heavy/bulky: shipping cost destroys margin; fragile: breakage and replacement cost,49.2
Gardening,Gardening gloves,1,1,0,0,0,1,0,1,5,1,0,1,3,0,EXCLUDED,sizing/fit: high return rate under 14-day withdrawal right; saturated commodity (Temu/Amazon price anchor); AOV <€15 with no repeat purchase: cannot carry acquisition cost,49.1
Hydration,Filter water jug,2,3,1,0,1,0,1,0,4,2,1,1,3,0,EXCLUDED,"regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); IP risk (patent, dominant trademark or licensed marks); heavy/bulky: shipping cost destroys margin; fragile: breakage and replacement cost",46.4
Cycling commute,Hi-vis reflective vest,1,1,0,0,1,1,0,1,4,1,0,1,2,0,EXCLUDED,regulated category (cosmetics/food-contact/toy/child/medical/PPE/CLP/supplement/adult); sizing/fit: high return rate under 14-day withdrawal right; AOV <€15 with no repeat purchase: cannot carry acquisition cost,42.7
